keys,en,zh_CN
"Compile GDScript","Compile GDScript",
"Add files...","Add files...",
"Remove files","Remove files",
"Clear files","Clear files",
"Script files:","Script files:",
"Script bytecode version:","Script bytecode version:",
"Destination folder:","Destination folder:",
"Compile","Compile",
"Cancel","Cancel",
"No destination folder selected","No destination folder selected",
"No files selected","No files selected",
"No bytecode version selected","No bytecode version selected",
"Decompile GDScript","Decompile GDScript",
"Decompile","Decompile",
"Set encryption key","Set encryption key",
"Script encryption key (64 character hex string):","Script encryption key (64 character hex string):",
"Set","Set",
"No encryption key","No encryption key",
"Invalid encryption key (must be 64 characters long hex)","Invalid encryption key (must be 64 characters long hex)",
"Create new PCK...","Create new PCK...",
"PCK version (""0"" - Godot 2.x; ""1"" - Godot 3.x; ""2"" - Godot 4.x):","PCK version (""0"" - Godot 2.x; ""1"" - Godot 3.x; ""2"" - Godot 4.x):",
"Encryption:","Encryption:",
"Godot engine version (""Major"".""Minor"".""Patch"", ""Patch"" value should be ""0"" for all pre 3.2 versions):","Godot engine version (""Major"".""Minor"".""Patch"", ""Patch"" value should be ""0"" for all pre 3.2 versions):",
"Embed PCK:","Embed PCK:",
"Extra tag:","Extra tag:",
"Save...","Save...",
"PCK explorer","PCK explorer",
"Version:","Version:",
"Information:","Information:",
"File name","File name",
"Size","Size",
"Info","Info",
"Files:","Files:",
"Options:","Options:",
"Extract...","Extract...",
"Some files have malformed names","Some files have malformed names",
"OK","OK",
"Files already exist!","Files already exist!",
"Following files already exist and will be overwritten:","Following files already exist and will be overwritten:",
"Overwrite","Overwrite",
"Important: Legal Notice","Important: Legal Notice",
"Show this warning when starting the editor","Show this warning when starting the editor",
"RE Tools","RE Tools","RE 工具"
"Recover project...","Recover project...","恢复项目..."
"Set encryption key...","Set encryption key...",
"About Godot RE Tools","About Godot RE Tools","关于 Godot RE Tools"
"Report a bug...","Report a bug...","报告 bug..."
"Quit","Quit","退出"
"PCK","PCK",
"Create PCK archive from folder...","Create PCK archive from folder...",
"GDScript","GDScript",
"Decompile .GDC/.GDE script files...","Decompile .GDC/.GDE script files...",
"Compile .GD script files...","Compile .GD script files...",
"Resources","Resources",
"Convert binary resources to text...","Convert binary resources to text...",
"Convert text resources to binary...","Convert text resources to binary...",
"Convert stream textures to PNG...","Convert stream textures to PNG...",
"Convert OGG Samples to OGG...","Convert OGG Samples to OGG...",
"Convert WAV Samples to WAV...","Convert WAV Samples to WAV...",
"Export Resource...","Export Resource...",
"Invalid bytecode version!","Invalid bytecode version!",
"Decompiling files...","Decompiling files...",
"decompiling","decompiling",
"At least one error was detected!","At least one error was detected!",
"No errors detected.","No errors detected.",
"The operation completed successfully!","The operation completed successfully!",
"Compiling files...","Compiling files...",
"compiling","compiling",
"Error opening encrypted PCK file: ","Error opening encrypted PCK file: ",
"Read PCK","Read PCK",
"Error opening PCK file: ","Error opening PCK file: ",
"Total files: ","Total files: ",
"Checked: ","Checked: ",
"Broken: ","Broken: ",
"Recovery report","Recovery report",
"Extract report","Extract report",
"Converting files...","Converting files...",
"Convert WAV samples","Convert WAV samples",
"Convert OGG samples","Convert OGG samples",
"Convert textures","Convert textures",
"Convert resources","Convert resources",
"No exporters found for resource ","No exporters found for resource ",
"Exporting resources...","Exporting resources...",
"Export resources","Export resources",
"Error opening folder (or empty folder): ","Error opening folder (or empty folder): ",
"New PCK","New PCK",
"%d replaced.","%d replaced.",
"No matches","No matches",
"%s Mipmaps","%s Mipmaps",
"Memory: %s","Memory: %s",
"No Mipmaps","No Mipmaps",
"Failed to create decompiler for version: ","Failed to create decompiler for version: ",
"Decompiler Error","Decompiler Error",
"Error","Error",
"Failed to read file: ","Failed to read file: ",
"File Error","File Error",
"Failed to compile file: ","Failed to compile file: ",
"Compile Error","Compile Error",
"Failed to open file for writing: ","Failed to open file for writing: ",
"The following files were successfully compiled: ","The following files were successfully compiled: ",
"Compile Complete","Compile Complete",
"Failed to decompile file: ","Failed to decompile file: ",
"Decompile Error","Decompile Error",
"The following files were successfully decompiled: ","The following files were successfully decompiled: ",
"Decompile Complete","Decompile Complete",
"ERROR: Failed to get bytecode buffer for encrypted file (did you set the encryption key?)","ERROR: Failed to get bytecode buffer for encrypted file (did you set the encryption key?)",
"ERROR: Failed to open file: ","ERROR: Failed to open file: ",
"WARNING: Failed to create decompiler for revision: ","WARNING: Failed to create decompiler for revision: ",
"WARNING: bytecode test failed for file: ","WARNING: bytecode test failed for file: ",
"Invalid GDScript bytecode file: ","Invalid GDScript bytecode file: ",
"No bytecode versions found","No bytecode versions found",
"Multiple bytecode versions found: ","Multiple bytecode versions found: ",
"Select a file and bytecode version to see the decompiled code","Select a file and bytecode version to see the decompiled code",
"Select a bytecode version to see the decompiled code","Select a bytecode version to see the decompiled code",
"Select a file to see the decompiled code","Select a file to see the decompiled code",
"Hide Preview","Hide Preview",
"Show Preview...","Show Preview...",
"--- Please select bytecode version ---","--- Please select bytecode version ---",
"Directory is not selected","Directory is not selected",
"Embed source is empty","Embed source is empty",
"ERROR:","ERROR:",
"*.exe,*.bin,*.32,*.64;Self contained executable files","*.exe,*.bin,*.32,*.64;Self contained executable files",
